Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
t,	two,	three,	False
eig,	eight,	eight,	True
si,	six,	six,	True
,	six,	one,	False
two,	two,	two,	True
sfiv,	five,	five,	True
twoe,	two,	two,	True
ight,	eight,	eight,	True
ih,	three,	eight,	False
twr,	two,	three,	False
eig,	eight,	eight,	True
sir,	three,	six,	False
,	four,	seven,	False
ivei,	five,	three,	False
nv,	nine,	six,	False
eig,	eight,	eight,	True
one,	one,	one,	True
sivo,	five,	seven,	False
for,	four,	four,	True
fur,	four,	four,	True
te,	three,	three,	True
i,	nine,	eight,	False
onhe,	one,	three,	False
,	seven,	one,	False
n,	nine,	one,	False
ev,	five,	seven,	False
evh,	five,	three,	False
fur,	four,	four,	True
fur,	four,	four,	True
sivn,	seven,	seven,	True
iv,	four,	five,	False
five,	five,	five,	True
onue,	one,	one,	True
tw,	two,	two,	True
iv,	four,	seven,	False
zero,	zero,	zero,	True
fur,	four,	four,	True
egn,	nine,	eight,	False
eign,	nine,	eight,	False
nin,	nine,	nine,	True
eig,	eight,	eight,	True
evn,	seven,	five,	False
fur,	four,	four,	True
t,	two,	two,	True
fiv,	five,	seven,	False
eg,	two,	eight,	False
fiv,	five,	seven,	False
o,	four,	one,	False
ne,	nine,	one,	False
,	three,	four,	False
g,	nine,	eight,	False
twoe,	two,	two,	True
one,	one,	one,	True
sivxf,	five,	six,	False
nio,	nine,	nine,	True
oiv,	five,	five,	True
tro,	three,	zero,	False
nin,	nine,	nine,	True
six,	six,	six,	True
,	nine,	zero,	False
fur,	four,	four,	True
zero,	zero,	zero,	True
sivx,	six,	six,	True
en,	one,	one,	True
hre,	three,	three,	True
eixe,	six,	six,	True
sev,	seven,	seven,	True
tho,	two,	three,	False
in,	one,	nine,	False
sex,	six,	six,	True
three,	three,	three,	True
egh,	eight,	eight,	True
zero,	zero,	zero,	True
two,	two,	two,	True
fur,	four,	four,	True
f,	five,	four,	False
twr,	two,	three,	False
n,	nine,	one,	False
sievn,	seven,	seven,	True
towo,	two,	two,	True
se,	three,	seven,	False
six,	six,	six,	True
sivn,	seven,	seven,	True
three,	three,	three,	True
two,	two,	two,	True
sixe,	six,	six,	True
twoe,	two,	two,	True
re,	three,	zero,	False
tre,	three,	three,	True
t,	two,	three,	False
nin,	nine,	nine,	True
tw,	two,	two,	True
nin,	nine,	nine,	True
er,	four,	zero,	False
se,	seven,	seven,	True
,	nine,	eight,	False
nin,	nine,	nine,	True
feoge,	five,	eight,	False
on,	one,	one,	True
sevtwn,	seven,	seven,	True
on,	one,	one,	True
fot,	four,	four,	True
sv,	seven,	seven,	True
eighn,	eight,	eight,	True
,	nine,	one,	False
oeni,	one,	one,	True
twen,	two,	two,	True
zerot,	zero,	zero,	True
i,	nine,	five,	False
ivhe,	five,	three,	False
fi,	five,	seven,	False
e,	three,	one,	False
sirxf,	six,	six,	True
sixev,	six,	six,	True
e,	three,	zero,	False
four,	four,	four,	True
o,	zero,	one,	False
,	seven,	eight,	False
fiv,	five,	five,	True
nine,	nine,	nine,	True
sevene,	seven,	seven,	True
twtwo,	two,	two,	True
furen,	four,	four,	True
five,	five,	five,	True
on,	one,	one,	True
oe,	zero,	five,	False
n,	nine,	nine,	True
fiv,	five,	five,	True
two,	two,	two,	True
,	nine,	three,	False
swof,	four,	seven,	False
our,	four,	four,	True
eg,	five,	eight,	False
iv,	four,	five,	False
tw,	two,	two,	True
tw,	two,	two,	True
fve,	five,	five,	True
sen,	three,	seven,	False
eign,	nine,	eight,	False
ge,	two,	eight,	False
,	four,	five,	False
n,	nine,	eight,	False
ne,	nine,	one,	False
eig,	eight,	eight,	True
e,	three,	one,	False
two,	two,	two,	True
five,	five,	five,	True
n,	nine,	nine,	True
foure,	four,	four,	True
n,	nine,	nine,	True
ern,	three,	zero,	False
tve,	five,	seven,	False
one,	one,	one,	True
trin,	three,	three,	True
tw,	two,	three,	False
fo,	four,	four,	True
four,	four,	four,	True
to,	two,	two,	True
tw,	two,	three,	False
sie,	six,	six,	True
n,	nine,	nine,	True
eigtn,	eight,	eight,	True
sev,	seven,	six,	False
er,	three,	zero,	False
si,	six,	six,	True
sene,	nine,	six,	False
n,	nine,	nine,	True
twe,	two,	two,	True
sive,	five,	seven,	False
zere,	zero,	zero,	True
n,	nine,	nine,	True
n,	nine,	nine,	True
eie,	five,	eight,	False
twhe,	two,	three,	False
our,	four,	four,	True
seven,	seven,	seven,	True
te,	three,	three,	True
sevnf,	seven,	seven,	True
sixe,	six,	six,	True
nrf,	three,	one,	False
f,	five,	five,	True
two,	two,	two,	True
eie,	nine,	eight,	False
twn,	two,	three,	False
four,	four,	four,	True
,	three,	one,	False
ne,	nine,	nine,	True
sixe,	six,	six,	True
si,	six,	six,	True
,	two,	one,	False
n,	nine,	nine,	True
zix,	six,	six,	True
tw,	two,	two,	True
four,	four,	four,	True
sone,	one,	seven,	False
n,	nine,	one,	False
si,	six,	six,	True
ege,	nine,	eight,	False
se,	three,	zero,	False
fiv,	five,	four,	False
ninf,	nine,	nine,	True
n,	nine,	one,	False
ze,	three,	zero,	False
,	two,	one,	False
zere,	zero,	zero,	True
,	five,	eight,	False
,	five,	zero,	False
,	six,	nine,	False
three,	three,	three,	True
twe,	two,	three,	False
ive,	five,	five,	True
six,	six,	six,	True
sen,	three,	seven,	False
ne,	nine,	nine,	True
three,	three,	three,	True
fue,	four,	four,	True
oe,	zero,	one,	False
onin,	nine,	one,	False
three,	three,	three,	True
nin,	nine,	nine,	True
one,	one,	one,	True
,	seven,	three,	False
ie,	nine,	eight,	False
twn,	two,	two,	True
four,	four,	four,	True
thi,	three,	eight,	False
ninf,	nine,	nine,	True
tw,	two,	two,	True
four,	four,	four,	True
fu,	four,	four,	True
eigf,	eight,	eight,	True
ni,	nine,	one,	False
fiv,	five,	five,	True
seve,	seven,	seven,	True
four,	four,	four,	True
zero,	zero,	zero,	True
sen,	seven,	seven,	True
f,	five,	four,	False
fev,	five,	seven,	False
teinin,	nine,	seven,	False
five,	five,	five,	True
tw,	two,	two,	True
fiv,	five,	five,	True
fi,	five,	five,	True
twn,	two,	two,	True
ei,	five,	eight,	False
five,	five,	five,	True
twn,	two,	two,	True
i,	nine,	zero,	False
href,	three,	three,	True
u,	four,	four,	True
four,	four,	four,	True
t,	two,	three,	False
ti,	three,	zero,	False
zero,	zero,	zero,	True
siv,	five,	seven,	False
ne,	nine,	eight,	False
ne,	nine,	nine,	True
zerof,	zero,	zero,	True
one,	one,	one,	True
eighf,	eight,	eight,	True
twof,	two,	two,	True
t,	two,	two,	True
,	seven,	zero,	False
se,	three,	seven,	False
fiv,	five,	five,	True
twn,	two,	two,	True
v,	five,	eight,	False
,	five,	seven,	False
four,	four,	four,	True
,	three,	two,	False
fivef,	five,	five,	True
,	five,	one,	False
sixf,	six,	six,	True
six,	six,	six,	True
furf,	four,	four,	True
nf,	nine,	nine,	True
twhre,	three,	three,	True
ef,	five,	zero,	False
,	seven,	one,	False
thri,	three,	three,	True
ininve,	five,	one,	False
three,	three,	three,	True
inin,	nine,	nine,	True
five,	five,	five,	True
f,	four,	zero,	False
twninhreo,	three,	nine,	False
foif,	five,	five,	True
two,	two,	two,	True
twe,	two,	two,	True
fur,	four,	four,	True
zer,	zero,	zero,	True
ig,	eight,	eight,	True
fi,	five,	five,	True
sihe,	six,	three,	False
fivf,	five,	five,	True
sninen,	nine,	seven,	False
tsif,	five,	three,	False
six,	six,	six,	True
iv,	four,	five,	False
nin,	nine,	nine,	True
fiur,	four,	four,	True
ine,	nine,	one,	False
zerof,	zero,	zero,	True
sixf,	six,	six,	True
in,	five,	nine,	False
thr,	three,	three,	True
finef,	five,	five,	True
si,	six,	seven,	False
igi,	three,	eight,	False
fovf,	five,	five,	True
r,	four,	zero,	False
i,	nine,	nine,	True
five,	five,	five,	True
sevi,	seven,	seven,	True
niv,	nine,	five,	False
tw,	two,	two,	True
einrf,	nine,	zero,	False
sevi,	seven,	seven,	True
igh,	nine,	eight,	False
fo,	four,	four,	True
f,	five,	four,	False
tix,	six,	six,	True
feve,	five,	seven,	False
sivn,	seven,	seven,	True
sir,	three,	six,	False
oe,	one,	one,	True
ih,	nine,	eight,	False
nifiv,	five,	five,	True
sir,	three,	zero,	False
,	three,	zero,	False
nin,	nine,	nine,	True
on,	one,	one,	True
if,	five,	six,	False
ero,	zero,	zero,	True
ixf,	six,	six,	True
ixe,	six,	six,	True
in,	five,	nine,	False
tix,	six,	two,	False
i,	one,	one,	True
niv,	nine,	nine,	True
fuf,	four,	four,	True
,	three,	one,	False
feur,	four,	four,	True
in,	five,	nine,	False
sr,	three,	zero,	False
one,	one,	one,	True
fo,	four,	four,	True
fiv,	five,	five,	True
ur,	four,	four,	True
twohri,	two,	three,	False
ouret,	four,	one,	False
sie,	six,	seven,	False
fiv,	five,	five,	True
thf,	three,	three,	True
ninf,	nine,	nine,	True
f,	five,	four,	False
six,	six,	six,	True
oe,	one,	six,	False
seve,	seven,	seven,	True
ixi,	six,	six,	True
fve,	five,	five,	True
feve,	five,	seven,	False
ftvn,	five,	three,	False
fivf,	five,	five,	True
fivf,	five,	five,	True
two,	two,	two,	True
eo,	two,	zero,	False
fone,	one,	one,	True
,	four,	one,	False
sevi,	seven,	seven,	True
i,	one,	zero,	False
to,	two,	two,	True
ou,	four,	one,	False
zero,	zero,	zero,	True
fourn,	four,	four,	True
four,	four,	four,	True
nin,	nine,	nine,	True
fu,	four,	four,	True
two,	two,	two,	True
u,	four,	four,	True
eighf,	eight,	eight,	True
f,	five,	four,	False
six,	six,	six,	True
eigh,	eight,	eight,	True
e,	three,	four,	False
fiv,	five,	five,	True
six,	six,	six,	True
tr,	three,	three,	True
feigf,	five,	eight,	False
fur,	four,	four,	True
i,	nine,	six,	False
tonin,	nine,	nine,	True
fivf,	five,	five,	True
ni,	nine,	nine,	True
si,	six,	seven,	False
tw,	two,	two,	True
n,	nine,	two,	False
tw,	two,	three,	False
sev,	seven,	seven,	True
four,	four,	four,	True
fur,	four,	four,	True
fsev,	five,	seven,	False
fiv,	five,	five,	True
ig,	nine,	eight,	False
ive,	five,	five,	True
eiv,	five,	eight,	False
ou,	four,	one,	False
io,	two,	zero,	False
he,	three,	eight,	False
fiv,	five,	five,	True
eiv,	five,	eight,	False
ne,	nine,	one,	False
zr,	zero,	zero,	True
si,	six,	six,	True
eo,	zero,	zero,	True
v,	five,	nine,	False
fo,	four,	four,	True
igh,	nine,	eight,	False
th,	three,	three,	True
fiv,	five,	five,	True
n,	nine,	four,	False
oet,	zero,	one,	False
,	four,	three,	False
w,	two,	two,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
eig,	eight,	eight,	True
eit,	eight,	eight,	True
nin,	nine,	nine,	True
on,	one,	one,	True
fsev,	five,	seven,	False
n,	nine,	one,	False
eig,	eight,	eight,	True
t,	two,	one,	False
sif,	five,	six,	False
fve,	five,	five,	True
n,	nine,	one,	False
t,	two,	three,	False
on,	one,	one,	True
o,	zero,	one,	False
tor,	four,	three,	False
fon,	one,	one,	True
iv,	four,	eight,	False
,	seven,	seven,	True
zeu,	two,	zero,	False
fiv,	five,	five,	True
nin,	nine,	nine,	True
fo,	four,	four,	True
six,	six,	six,	True
,	four,	four,	True
hi,	five,	three,	False
feve,	five,	seven,	False
iv,	four,	six,	False
eo,	zero,	zero,	True
two,	two,	seven,	False
eri,	three,	zero,	False
t,	two,	three,	False
to,	two,	two,	True
fiv,	five,	five,	True
fuoure,	four,	four,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
t,	two,	eight,	False
fiv,	five,	five,	True
er,	three,	zero,	False
tw,	two,	two,	True
fou,	four,	four,	True
to,	two,	three,	False
one,	one,	one,	True
eo,	zero,	zero,	True
i,	nine,	eight,	False
sev,	seven,	seven,	True
ig,	nine,	eight,	False
fivn,	five,	five,	True
fiv,	five,	five,	True
fov,	four,	four,	True
r,	four,	zero,	False
n,	nine,	nine,	True
fv,	five,	seven,	False
eie,	nine,	zero,	False
nin,	nine,	nine,	True
sivf,	five,	six,	False
seio,	six,	seven,	False
six,	six,	six,	True
onvne,	one,	one,	True
fiv,	five,	five,	True
tw,	two,	two,	True
five,	five,	five,	True
o,	four,	one,	False
six,	six,	six,	True
eig,	eight,	eight,	True
seve,	seven,	seven,	True
iv,	four,	zero,	False
si,	six,	six,	True
siv,	five,	six,	False
f,	five,	four,	False
fur,	four,	four,	True
fivf,	five,	five,	True
sevn,	seven,	seven,	True
nin,	nine,	nine,	True
twte,	two,	three,	False
fov,	four,	five,	False
e,	three,	five,	False
nin,	nine,	nine,	True
f,	five,	four,	False
fve,	five,	five,	True
zero,	zero,	zero,	True
ni,	nine,	nine,	True
o,	zero,	one,	False
ne,	nine,	one,	False
sero,	zero,	seven,	False
eig,	eight,	eight,	True
se,	three,	seven,	False
,	one,	three,	False
six,	six,	seven,	False
fivn,	five,	five,	True
n,	nine,	two,	False
ero,	zero,	zero,	True
sev,	seven,	seven,	True
two,	two,	two,	True
onune,	one,	one,	True
six,	six,	six,	True
fu,	four,	four,	True
nin,	nine,	nine,	True
on,	one,	one,	True
zero,	zero,	zero,	True
nin,	nine,	nine,	True
on,	one,	one,	True
fiven,	five,	five,	True
fivf,	five,	five,	True
nine,	nine,	nine,	True
f,	five,	seven,	False
zeo,	zero,	zero,	True
siefn,	five,	seven,	False
nine,	nine,	nine,	True
tohr,	four,	three,	False
erou,	zero,	zero,	True
si,	six,	zero,	False
four,	four,	four,	True
ning,	nine,	nine,	True
two,	two,	two,	True
tworn,	two,	three,	False
o,	four,	one,	False
sini,	nine,	seven,	False
eig,	eight,	eight,	True
ur,	four,	one,	False
o,	four,	one,	False
six,	six,	six,	True
tix,	six,	six,	True
wsrx,	six,	six,	True
wfiv,	five,	five,	True
sfivf,	five,	seven,	False
tw,	two,	two,	True
two,	two,	two,	True
nin,	nine,	nine,	True
seven,	seven,	seven,	True
onune,	one,	one,	True
zeigt,	eight,	eight,	True
nine,	nine,	nine,	True
ig,	eight,	eight,	True
wo,	two,	two,	True
fiv,	five,	five,	True
four,	four,	four,	True
nin,	nine,	nine,	True
se,	three,	zero,	False
fnin,	nine,	five,	False
or,	four,	two,	False
sirf,	three,	six,	False
zour,	four,	four,	True
ftwren,	three,	three,	True
zsi,	six,	six,	True
nine,	nine,	nine,	True
nin,	nine,	nine,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
e,	three,	zero,	False
fseiv,	five,	seven,	False
nin,	nine,	nine,	True
fero,	four,	zero,	False
ohre,	four,	three,	False
rof,	four,	zero,	False
e,	three,	zero,	False
twre,	three,	three,	True
n,	nine,	three,	False
sen,	seven,	seven,	True
ig,	eight,	eight,	True
nin,	nine,	nine,	True
sive,	five,	seven,	False
ive,	five,	five,	True
four,	four,	four,	True
igx,	six,	eight,	False
hro,	three,	zero,	False
ni,	nine,	nine,	True
one,	one,	one,	True
tfon,	seven,	one,	False
egh,	eight,	eight,	True
fur,	four,	four,	True
six,	six,	six,	True
on,	one,	one,	True
four,	four,	four,	True
four,	four,	four,	True
fo,	four,	five,	False
two,	two,	two,	True
fiv,	five,	five,	True
on,	one,	one,	True
fi,	five,	five,	True
five,	five,	five,	True
ning,	nine,	nine,	True
fon,	four,	one,	False
tw,	two,	two,	True
nin,	nine,	nine,	True
ig,	eight,	eight,	True
four,	four,	four,	True
on,	one,	one,	True
fur,	four,	four,	True
,	nine,	eight,	False
oni,	nine,	one,	False
nine,	nine,	nine,	True
fif,	five,	six,	False
one,	one,	one,	True
tg,	two,	eight,	False
sivs,	five,	six,	False
four,	four,	four,	True
on,	one,	one,	True
six,	six,	six,	True
six,	six,	six,	True
six,	six,	six,	True
th,	three,	three,	True
six,	six,	six,	True
ne,	nine,	nine,	True
twt,	two,	two,	True
n,	nine,	two,	False
twrn,	two,	three,	False
sev,	seven,	seven,	True
eig,	eight,	eight,	True
on,	one,	one,	True
on,	one,	one,	True
ig,	nine,	eight,	False
five,	five,	five,	True
nin,	nine,	nine,	True
fu,	four,	four,	True
e,	three,	one,	False
o,	nine,	zero,	False
siv,	five,	six,	False
h,	four,	eight,	False
fourn,	four,	four,	True
nin,	nine,	nine,	True
sio,	six,	seven,	False
siv,	five,	seven,	False
fw,	four,	two,	False
five,	five,	five,	True
t,	two,	three,	False
two,	two,	two,	True
n,	nine,	one,	False
i,	nine,	eight,	False
two,	two,	two,	True
nine,	nine,	nine,	True
t,	two,	three,	False
fivi,	five,	seven,	False
si,	six,	six,	True
eight,	eight,	eight,	True
nin,	nine,	nine,	True
ig,	eight,	eight,	True
fi,	five,	eight,	False
figh,	five,	eight,	False
nin,	nine,	one,	False
sin,	seven,	seven,	True
fi,	five,	five,	True
fiv,	five,	five,	True
ix,	six,	two,	False
nin,	nine,	nine,	True
r,	four,	three,	False
tre,	three,	three,	True
x,	six,	zero,	False
ne,	nine,	five,	False
i,	nine,	nine,	True
tr,	three,	three,	True
on,	one,	one,	True
n,	nine,	one,	False
nin,	nine,	nine,	True
igt,	eight,	eight,	True
nin,	nine,	nine,	True
on,	one,	one,	True
t,	two,	three,	False
zeo,	zero,	zero,	True
three,	three,	three,	True
four,	four,	four,	True
irf,	three,	six,	False
ero,	zero,	zero,	True
nin,	nine,	nine,	True
nh,	nine,	eight,	False
siev,	five,	seven,	False
five,	five,	five,	True
nin,	nine,	one,	False
finef,	five,	five,	True
iur,	four,	four,	True
th,	three,	eight,	False
si,	six,	seven,	False
fi,	five,	five,	True
to,	two,	three,	False
sivei,	five,	seven,	False
th,	three,	three,	True
fie,	five,	five,	True
igh,	nine,	eight,	False
ti,	two,	eight,	False
ig,	nine,	eight,	False
twon,	two,	two,	True
si,	six,	seven,	False
sevet,	seven,	seven,	True
fur,	four,	four,	True
f,	five,	seven,	False
rht,	three,	three,	True
i,	nine,	one,	False
i,	one,	nine,	False
sixf,	six.,	six,	False
th,	three,	three,	True
ni,	nine,	nine,	True
sivevt,	five,	seven,	False
fiv,	five,	five,	True
n,	nine,	one,	False
fou,	four,	four,	True
oun,	one,	one,	True
,	four,	three,	False
eigh,	eight,	eight,	True
fur,	four,	four,	True
fiv,	five,	five,	True
iv,	four,	zero,	False
seve,	seven,	seven,	True
eigh,	eight,	eight,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
nie,	nine,	nine,	True
si,	six,	six,	True
,	four,	one,	False
set,	seven,	seven,	True
i,	one,	seven,	False
fiv,	five,	five,	True
fiv,	five,	five,	True
on,	one,	one,	True
,	two,	one,	False
six,	six,	six,	True
nin,	nine,	nine,	True
er,	four,	zero,	False
h,	four,	eight,	False
,	seven,	one,	False
zer,	zero,	zero,	True
one,	one,	one,	True
tw,	two,	two,	True
fev,	five,	seven,	False
fur,	four,	four,	True
tiwo,	two,	zero,	False
three,	three,	three,	True
seini,	six,	seven,	False
six,	six,	six,	True
of,	four,	zero,	False
ig,	nine,	eight,	False
,	five,	one,	False
seixf,	six,	six,	True
nfive,	five,	five,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
,	six,	eight,	False
nin,	nine,	nine,	True
siv,	five,	seven,	False
three,	three,	three,	True
six,	six,	six,	True
tin,	ten,	seven,	False
n,	nine,	four,	False
twh,	two,	three,	False
igf,	five,	eight,	False
one,	one,	one,	True
sevev,	seven,	seven,	True
six,	six,	six,	True
w,	two,	two,	True
tr,	three,	three,	True
nin,	nine,	nine,	True
fin,	five,	seven,	False
zei,	three,	zero,	False
fu,	four,	four,	True
ni,	nine,	nine,	True
fur,	four,	four,	True
twf,	two,	two,	True
ixf,	six,	six,	True
sixiv,	six,	six,	True
tw,	two,	two,	True
sixo,	six,	zero,	False
twx,	two,	two,	True
fov,	four,	one,	False
two,	two,	two,	True
siv,	five,	seven,	False
ro,	four,	zero,	False
wo,	two,	two,	True
fiv,	five,	seven,	False
eiv,	five,	seven,	False
fiv,	five,	five,	True
twro,	two,	two,	True
six,	six,	six,	True
ro,	zero,	zero,	True
er,	four,	zero,	False
nine,	nine,	nine,	True
fwor,	four,	four,	True
ntwo,	two,	two,	True
sfive,	five,	seven,	False
fiv,	five,	five,	True
fve,	five,	five,	True
two,	two,	two,	True
twn,	two,	two,	True
ro,	zero,	zero,	True
t,	two,	three,	False
tuhr,	two,	three,	False
tonig,	two,	three,	False
six,	six,	six,	True
ie,	three,	zero,	False
feixf,	five,	six,	False
finef,	five,	five,	True
two,	two,	seven,	False
ueigh,	eight,	eight,	True
ein,	one,	eight,	False
three,	three,	three,	True
fivf,	five,	five,	True
three,	three,	three,	True
fon,	four,	one,	False
nine,	nine,	nine,	True
one,	one,	one,	True
nin,	nine,	nine,	True
nine,	nine,	nine,	True
our,	four,	four,	True
n,	nine,	six,	False
fiv,	five,	four,	False
two,	two,	two,	True
seix,	six,	six,	True
sfi,	five,	zero,	False
tw,	two,	two,	True
thret,	three,	three,	True
zeixo,	zero,	zero,	True
two,	two,	two,	True
thrf,	three,	three,	True
ninef,	nine,	nine,	True
th,	three,	three,	True
tw,	two,	zero,	False
fevei,	five,	seven,	False
eigt,	eight,	eight,	True
onue,	one,	one,	True
six,	six,	six,	True
fou,	four,	four,	True
twx,	two,	six,	False
fiv,	five,	four,	False
x,	six,	six,	True
fif,	five,	six,	False
sixfiv,	six,	six,	True
six,	six,	six,	True
sevene,	seven,	seven,	True
o,	zero,	four,	False
zer,	zero,	zero,	True
two,	two,	two,	True
nin,	nine,	nine,	True
exr,	six,	zero,	False
zr,	zero,	zero,	True
sixf,	six,	six,	True
twr,	two,	two,	True
torn,	four,	three,	False
onue,	one,	one,	True
fie,	five,	five,	True
fiv,	five,	five,	True
vfive,	five,	five,	True
fouf,	four,	four,	True
of,	four,	zero,	False
sir,	three,	zero,	False
seve,	seven,	seven,	True
fo,	four,	four,	True
ei,	five,	eight,	False
twof,	two,	two,	True
tore,	four,	three,	False
two,	two,	two,	True
two,	two,	two,	True
sevx,	seven,	six,	False
ninv,	nine,	nine,	True
the,	two,	three,	False
f,	five,	four,	False
rx,	six,	six,	True
ix,	six,	six,	True
five,	five,	five,	True
eig,	eight,	eight,	True
fiv,	five,	five,	True
fur,	four,	four,	True
tw,	two,	two,	True
f,	five,	four,	False
five,	five,	five,	True
fivf,	five,	five,	True
siv,	five,	seven,	False
ni,	nine,	nine,	True
sixf,	six,	six,	True
six,	six,	six,	True
ze,	three,	zero,	False
two,	two,	two,	True
seivei,	five,	seven,	False
t,	two,	five,	False
on,	one,	one,	True
two,	two,	two,	True
i,	nine,	one,	False
,	two,	eight,	False
sivi,	five,	seven,	False
siv,	five,	seven,	False
fiv,	five,	five,	True
twe,	two,	zero,	False
ze,	three,	zero,	False
,	two,	zero,	False
three,	three,	three,	True
three,	three,	three,	True
zeiv,	five,	zero,	False
ftwo,	two,	seven,	False
fivt,	five,	five,	True
tix,	six,	two,	False
five,	five,	five,	True
twe,	two,	three,	False
eig,	eight,	eight,	True
twn,	two,	two,	True
f,	four,	three,	False
,	one,	one,	True
trf,	three,	three,	True
enx,	six,	six,	True
tv,	five,	three,	False
zt,	two,	zero,	False
sin,	seven,	two,	False
twn,	two,	two,	True
fiv,	five,	five,	True
zer,	zero,	zero,	True
n,	nine,	nine,	True
in,	one,	nine,	False
,	one,	one,	True
in,	five,	nine,	False
t,	two,	three,	False
o,	four,	three,	False
ieig,	nine,	eight,	False
twf,	two,	two,	True
e,	three,	eight,	False
fiv,	five,	five,	True
sev,	seven,	seven,	True
on,	one,	one,	True
t,	two,	three,	False
siwe,	five,	three,	False
ninef,	nine,	nine,	True
twf,	two,	two,	True
six,	six,	six,	True
z,	two,	zero,	False
,	three,	four,	False
ni,	nine,	nine,	True
,	one,	zero,	False
nin,	nine,	nine,	True
twvef,	five,	seven,	False
th,	two,	three,	False
foe,	four,	four,	True
eige,	eight,	eight,	True
iv,	four,	five,	False
sev,	seven,	seven,	True
n,	nine,	nine,	True
twxf,	two,	six,	False
siv,	five,	seven,	False
six,	six,	six,	True
oe,	two,	one,	False
sie,	six,	six,	True
four,	four,	four,	True
sis,	six,	six,	True
e,	three,	four,	False
zerof,	zero,	zero,	True
sev,	seven,	seven,	True
n,	nine,	one,	False
sxf,	six,	six,	True
sev,	seven,	seven,	True
fie,	five,	four,	False
egh,	eight,	eight,	True
,	six,	one,	False
sivei,	five,	seven,	False
twn,	two,	two,	True
nine,	nine,	nine,	True
thr,	three,	three,	True
twf,	two,	four,	False
fure,	four,	four,	True
fiv,	five,	five,	True
fourn,	four,	four,	True
sro,	three,	zero,	False
,	seven,	nine,	False
fwur,	four,	four,	True
tw,	two,	two,	True
nigh,	nine,	eight,	False
twotow,	two,	two,	True
,	three,	three,	True
zoe,	zero,	zero,	True
tiv,	five,	five,	True
f,	five,	seven,	False
on,	one,	one,	True
sen,	seven,	six,	False
nin,	nine,	nine,	True
egt,	eight,	eight,	True
sivene,	seven,	seven,	True
zeroe,	zero,	zero,	True
er,	three,	six,	False
our,	four,	four,	True
swi,	three,	six,	False
sixe,	six,	six,	True
sev,	seven,	seven,	True
iv,	four,	eight,	False
swnen,	seven,	seven,	True
zer,	zero,	zero,	True
ie,	nine,	seven,	False
t,	two,	one,	False
rv,	five,	six,	False
one,	one,	one,	True
zerxoet,	zero,	zero,	True
tf,	two,	three,	False
tone,	one,	nine,	False
zro,	zero,	zero,	True
si,	six,	six,	True
tixe,	six,	six,	True
sief,	five,	seven,	False
ounf,	nine,	one,	False
foe,	four,	four,	True
five,	five,	five,	True
tw,	two,	three,	False
sev,	seven,	six,	False
in,	nine,	nine,	True
sixnin,	six,	six,	True
nin,	nine,	nine,	True
ninf,	nine,	nine,	True
tre,	three,	three,	True
five,	five,	five,	True
twe,	two,	two,	True
nin,	nine,	nine,	True
eigne,	nine,	eight,	False
tw,	two,	two,	True
five,	five,	five,	True
o,	four,	one,	False
ei,	five,	eight,	False
foure,	four,	four,	True
five,	five,	five,	True
fov,	five,	four,	False
si,	six,	seven,	False
onr,	one,	one,	True
nin,	nine,	nine,	True
twoe,	two,	two,	True
swo,	two,	two,	True
iwo,	two,	two,	True
fo,	four,	four,	True
n,	nine,	one,	False
zeo,	zero,	zero,	True
she,	three,	six,	False
oiv,	five,	five,	True
nine,	nine,	nine,	True
fw,	four,	four,	True
one,	one,	one,	True
fivf,	five,	seven,	False
sev,	seven,	seven,	True
eig,	eight,	eight,	True
sif,	five,	six,	False
three,	three,	three,	True
n,	nine,	one,	False
eigh,	eight,	eight,	True
fiv,	five,	five,	True
w,	two,	two,	True
sixe,	six,	six,	True
eigh,	eight,	eight,	True
of,	four,	zero,	False
tohre,	three,	three,	True
er,	three,	zero,	False
siv,	five,	seven,	False
,	seven,	zero,	False
eighn,	eight,	eight,	True
fiv,	five,	seven,	False
fiv,	five,	five,	True
three,	three,	three,	True
two,	two,	two,	True
ninf,	nine,	nine,	True
eig,	eight,	eight,	True
sivn,	seven,	seven,	True
fivef,	five,	five,	True
fi,	five,	four,	False
ie,	nine,	five,	False
fine,	nine,	five,	False
ine,	nine,	nine,	True
on,	one,	one,	True
fure,	four,	four,	True
ne,	nine,	nine,	True
five,	five,	five,	True
zereo,	zero,	zero,	True
seve,	seven,	six,	False
six,	six,	six,	True
t,	two,	three,	False
nsevhr,	seven,	seven,	True
fur,	four,	four,	True
e,	three,	eight,	False
te,	three,	zero,	False
two,	two,	two,	True
,	nine,	one,	False
two,	two,	two,	True
two,	two,	two,	True
sivenen,	seven,	seven,	True
tw,	two,	two,	True
twhr,	two,	three,	False
two,	two,	two,	True
nint,	nine,	nine,	True
o,	four,	three,	False
six,	six,	six,	True
f,	four,	four,	True
sevn,	seven,	seven,	True
twhre,	three,	three,	True
nf,	nine,	nine,	True
ev,	five,	five,	True
nine,	nine,	nine,	True
siv,	five,	seven,	False
six,	six,	six,	True
nin,	nine,	nine,	True
